Drittmittelgeber/ Funder;Förderkennzeichen;Call ;Kurztitel/ Acronym;Titel des Projekts/ Title ;Website;Projektbeginn;Projektende;Betreut durch Organisationseinheit ;Interne Projektnr.;Status;Publik
BMG;ZMVI1-2520FSB001;https://www.bmbf.de/foerderungen/bekanntmachung-2253.html;P4-LUCAT;Personalised Medicine: Multidisciplinary Research Towards Implementation;;01.04.2020;31.12.2023;C. SDM;53000015;Accepted;Ja
DFG;SE 1827/18-1;DFG LIS;ORCID DE 2;Konsolidierung der ORCID-Informationsstruktur in Deutschland;;01.01.2020;30.06.2023;A. Ref. PM;51000063;Accepted;
BMBF;01DK20080;Wissenschaftlich-Technische Zusammenarbeit mit der Ukraine;FAIRIO;FAIRe Forschungsinformationen in Offenen Infrastrukturen;https://projects.tib.eu/fairio/;01.05.2020;30.04.2021;C. OSL;53000017;Accepted;ja
BMBF;;https://www.bmbf.de/foerderungen/bekanntmachung-2157.html;DiGaL;Digitale Kompetenz durch Game-based Learning - DiGaL;;01.01.2020;31.12.2022;C. NTM;;Rejected;
EU;2019-1-DE01-KA203-005052;ERASMUS+ Key Action 204 Higher Education;OEduverse;Enhancing Professionalization of European Graduate Students Through Open Science, Communication and Mental Health Skills Training;;01.01.2020;30.06.2021;C. DSDL;57000010;Accepted;
EU;2019-1-HR01-KA203-060984;ERASMUS+ Key Action 204 Higher Education;ADSEE;Applied Data Science Educational System;;01.01.2020;30.06.2021;C. DSDL;57000011;Accepted;
EU;;ERASMUS+ Key Action 203 School Education;HELDI;Hand-holding Educators in eLearning Design and Implementation;;;;C. DSDL;;Rejected;
EU;;ERASMUS+ Key Action 201 School Education;Fairy Science;Fairy Science;;;;C. DSDL;;Rejected;
DFG;;http://www.dfg.de/en/dfg_profile/international_cooperation/international_context/partner_organisations/france/anr_nle/;KnowMore;;;;;C. SDM;;Rejected;
EU;;ICT-13-2018-2019 Supporting the Emergence of Data Markets and the Data Economy;TRUSTS;Trusted Secure Data Sharing Space;;01.01.2020;31.12.2022;C. DSDL;20190011;Accepted;
EU;;ICT-15-2019-2020 Cloud Computing;FogShield;Federated Security in the Fog;;;;C. DSDL;;Rejected;
BMBF;DAAD;"DAAD-Programm
„Internationale Mobilität und Kooperation digital";InterLINKS digital;International Lernen In Netzwerken - Kompetenzen stärken digital;;;;C. DSDL;;Rejected;
EU;872592;DT-ICT-11-2019 Big Data Solutions for Energy;PLATOON;Digital PLAtform and analytic TOOls for eNergy;;01.01.2020;31.12.2022;C. SDM;57000009;Accepted;Ja
Leibniz-Gemeinschaft;;https://www.leibniz-gemeinschaft.de/ueber-uns/leibniz-wettbewerb/leibniz-wettbewerb-2020/ ;DiASPora;Digital Approaches for the Synthesis of Poorly Accessible Biodiversity Information (BacDive & Semantics);;01.05.2020;30.04.2023;C. NTM;59000030;Accepted;Ja
EU;875160;SC1-DTH-01-2019 Big data and Artificial Intelligence for monitoring health status and quality of life after the cancer treatment;CLARIFY;Cancer Long Survivors Artificial Intelligence Follow Up;;01.01.2020;30.06.2023;C. SDM;57000008;Accepted;Ja
DFG;;DFG SFB 1368, Teilprojekt INF ;;Sauerstofffreie Produktion;;01.01.2020;31.12.2023;C. DSDL;20200017;Accepted;
DFG;SE 1827/19-1;"DFG LIS ""Fachinformationsdienste für die Wissenschaft""";FID Baudigital;FID Bauingenieurwesen, Architektur und Urbanistik digital;;01.07.2020;30.06.2023;C. E;51000064;Accepted;Ja
DFG;SE 1827/19-1;"DFG LIS ""Fachinformationsdienste für die Wissenschaft""";FID Baudigital;FID Bauingenieurwesen, Architektur und Urbanistik digital;;01.07.2020;30.06.2023;A. W-Dienst;51000064;Accepted;Ja
DFG;SE 1827/19-1;"DFG LIS ""Fachinformationsdienste für die Wissenschaft""";FID Baudigital;FID Bauingenieurwesen, Architektur und Urbanistik digital;;01.07.2020;30.06.2023;C. E;51000064;Accepted;Ja
DFG;SE 1827/19-1;"DFG LIS ""Fachinformationsdienste für die Wissenschaft""";FID Baudigital;FID Bauingenieurwesen, Architektur und Urbanistik digital;;01.07.2020;30.06.2023;C. E;51000064;Accepted;Ja
EU;;NGI_TRUST_Open_call_#1_2019;SoveRIS;Self-sovereign identity in research information systems;;;;C. OSL;;Rejected;
DFG;SE 1827/3-2;"DFG LIS ""Überregionale Lizensierung""; Allianz Lizenz Antragsrunde 2020";Scientific.Net;Erwerb von Allianz-Lizenzen an der TIB: Scientific.Net: Materials Science and Engineering/Trans Tech Publications (Fortsetzungsantrag);;01.01.2020;31.12.2022;A. Ref. L;51000065;Accepted;
